Name,Task,TaskCategory,EventGuid
ManifestLibrary.ManifestValidateAppVNamespaceApplyTransformNormalize,710,ManifestValidateAppVNamespaceApplyTransformNormalize,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestValidateAppVNamespaceApplySchemas,711,ManifestValidateAppVNamespaceApplySchemas,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestNormalizeManifest,712,ManifestNormalizeManifest,00000000-0000-0000-0000-000000000000
ManifestLibrary.ManifestPrepareOutputDocument,713,ManifestPrepareOutputDocument,00000000-0000-0000-0000-000000000000
Mav-VEMgr.DriverLoad,801,VEMgr Driver Load,00000000-0000-0000-0000-000000000000
Mav-VEMgr.DriverUnload,802,VEMgr Driver Unload,00000000-0000-0000-0000-000000000000
Mav-VEMgr.AddPackage,803,VEMgr Add Package,00000000-0000-0000-0000-000000000000
Mav-VEMgr.RemovePackage,804,VEMgr Remove Package,00000000-0000-0000-0000-000000000000
Mav-VEMgr.AddUser,805,VEMgr Add User,00000000-0000-0000-0000-000000000000
Mav-VEMgr.RemoveUser,806,VEMgr Remove User,00000000-0000-0000-0000-000000000000
Mav-VEMgr.ProcessLaunch,807,VEMgr Process Launch,00000000-0000-0000-0000-000000000000
Mav-VEMgr.ProcessShutdown,808,VEMgr Process Shutdown,00000000-0000-0000-0000-000000000000
Mav-VEMgr.LookupProcess,809,VEMgr Lookup Process,00000000-0000-0000-0000-000000000000
Mav-VEMgr.LookupProcessEx,810,VEMgr Lookup Process Ex,00000000-0000-0000-0000-000000000000
Mav-VEMgr.AddPackageGroup,811,Add Package Group,00000000-0000-0000-0000-000000000000
Mav-VEMgr.RemovePackageGroup,812,Remove Package Group,00000000-0000-0000-0000-000000000000
Mav-VEMgr.JITVProcessStart,813,JITV Process Start,00000000-0000-0000-0000-000000000000
Mav-VEMgr.GlobalPublish,814,Global Publishing,00000000-0000-0000-0000-000000000000
Mav-VEMgr.GlobalUnpublish,815,Global Unpublishing,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreCreate,901,PreCreate,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreCleanup,902,PreCleanup,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreWrite,903,PreWrite,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreDirectoryCtrl,904,PreDirectoryCtrl,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreSetInfo,905,PreSetInfo,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreSetSecurity,906,PreSetSecurity,00000000-0000-0000-0000-000000000000
Mav-Vfsc.PerfPreAcquireForSection,907,PreAcquireForSection,00000000-0000-0000-0000-000000000000
Orchestration.ComponentStartup,1001,ComponentStartup,00000000-0000-0000-0000-000000000000
Orchestration.ComponentRun,1002,ComponentRun,00000000-0000-0000-0000-000000000000
Orchestration.ComponentStop,1003,ComponentStop,00000000-0000-0000-0000-000000000000
Orchestration.ComponentShutdown,1004,ComponentShutdown,00000000-0000-0000-0000-000000000000
Orchestration.ComponentUserLogon,1005,ComponentUserLogon,00000000-0000-0000-0000-000000000000
Orchestration.ComponentUserLogoff,1006,ComponentUserLogoff,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackage,1007,ConfigurePackage,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageComponent,1008,ConfigurePackageComponent,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageFinalize,1009,ConfigurePackageFinalize,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageFinalizeComponent,1010,ConfigurePackageFinalizeComponent,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageComplete,1011,ConfigurePackageComplete,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageCompleteComponent,1012,ConfigurePackageCompleteComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackage,1013,PublishPackage,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageComponent,1014,PublishPackageComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageFinalize,1015,PublishPackageFinalize,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageFinalizeComponent,1016,PublishPackageFinalizeComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageComplete,1017,PublishPackageComplete,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageCompleteComponent,1018,PublishPackageCompleteComponent,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroup,1019,ConfigurePackageGroup,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroupComponent,1020,ConfigurePackageGroupComponent,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroupFinalize,1021,ConfigurePackageGroupFinalize,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroupFinalizeComponent,1022,ConfigurePackageGroupFinalizeComponent,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroupComplete,1023,ConfigurePackageGroupComplete,00000000-0000-0000-0000-000000000000
Orchestration.ConfigurePackageGroupCompleteComponent,1024,ConfigurePackageGroupCompleteComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroup,1025,PublishPackageGroup,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroupComponent,1026,PublishPackageGroupComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroupFinalize,1027,PublishPackageGroupFinalize,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroupFinalizeComponent,1028,PublishPackageGroupFinalizeComponent,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroupComplete,1029,PublishPackageGroupComplete,00000000-0000-0000-0000-000000000000
Orchestration.PublishPackageGroupCompleteComponent,1030,PublishPackageGroupCompleteComponent,00000000-0000-0000-0000-000000000000
Orchestration.CoordinateActivity,1031,CoordinateActivity,00000000-0000-0000-0000-000000000000
PublishingClient.prfActivity,1100,Publishing Activity,00000000-0000-0000-0000-000000000000
PublishingClient.prfDownloadPackageList,1102,Download package list,00000000-0000-0000-0000-000000000000
PublishingClient.prfDownloadPolicy,1103,Download policy,00000000-0000-0000-0000-000000000000
PublishingClient.prfDownloadMachinePolicy,1104,Download machine policy,00000000-0000-0000-0000-000000000000
PublishingClient.prfRefreshPackages,1110,Refresh packages,00000000-0000-0000-0000-000000000000
PublishingClient.prfConfigurePackage,1111,Configure a package,00000000-0000-0000-0000-000000000000
PublishingClient.prfPublishPackage,1112,Publish a package,00000000-0000-0000-0000-000000000000
PublishingClient.prfUnPublishPackages,1113,Unpublish packages,00000000-0000-0000-0000-000000000000
PublishingClient.prfUnPublishPackage,1114,Unpublish a package,00000000-0000-0000-0000-000000000000
PublishingClient.prfRefreshGroups,1120,Refresh Groups,00000000-0000-0000-0000-000000000000
PublishingClient.prfConfigureGroup,1121,Configure a Group,00000000-0000-0000-0000-000000000000
PublishingClient.prfPublishGroup,1122,Publish a Group,00000000-0000-0000-0000-000000000000
PublishingClient.prfUnPublishGroups,1123,Unpublish Groups,00000000-0000-0000-0000-000000000000
PublishingClient.prfUnPublishGroup,1124,Unpublish a Group,00000000-0000-0000-0000-000000000000
RegistryStaging.ServiceStartRuntime,1201,Registry Staging service start runtime,00000000-0000-0000-0000-000000000000
RegistryStaging.ProcessStartRuntime,1202,Registry Staging process start runtime,00000000-0000-0000-0000-000000000000
RegistryStaging.ServiceStopRuntime,1203,Registry Staging service stop runtime,00000000-0000-0000-0000-000000000000
RegistryStaging.ProcessStopRuntime,1204,Registry Staging process stop runtime,00000000-0000-0000-0000-000000000000
RegistryStaging.StageKeyOnDemand,1205,Stage key on demand,00000000-0000-0000-0000-000000000000
RegistryStaging.StageKeyBackground,1206,Stage key in the background,00000000-0000-0000-0000-000000000000
RegistryStaging.StagePolicyXMLs,1207,Stage all policy XMLs,00000000-0000-0000-0000-000000000000
RegistryStaging.StagePackages,1208,Stage all packages,00000000-0000-0000-0000-000000000000
RegistryStaging.StageSinglePackage,1209,Stage a single package,00000000-0000-0000-0000-000000000000
RegistryNotification.EnumerateSettingChangesTask,1301,Enumerate setting changes,00000000-0000-0000-0000-000000000000
RegistryNotification.SendChangeNotificationTask,1302,Send change notifications,00000000-0000-0000-0000-000000000000
FTA.Packaging,1401,Packaging,00000000-0000-0000-0000-000000000000
FTA.ShellNotifyFtaAssocChanged,1402,ShellNotifyFtaAssocChanged,00000000-0000-0000-0000-000000000000
Integration.NotifyFta,1501,NotifyFta,00000000-0000-0000-0000-000000000000
Integration.NotifyShortcutAdded,1502,NotifyShortcutAdded,00000000-0000-0000-0000-000000000000
Integration.NotifyShortcutRemoved,1503,NotifyShortcutRemoved,00000000-0000-0000-0000-000000000000
Integration.NotifyStopProxy,1504,NotifyStopProxy,00000000-0000-0000-0000-000000000000
Integration.NotifyCancelAllPending,1505,NotifyCancelAllPending,00000000-0000-0000-0000-000000000000
Integration.NotifyStartProxy,1506,NotifyStartProxy,00000000-0000-0000-0000-000000000000
Integration.NotifyShortcutUnpin,1507,NotifyShortcutUnpin,00000000-0000-0000-0000-000000000000
Integration.Initialize,1508,Initialize,00000000-0000-0000-0000-000000000000
Integration.InitializeISV,1509,InitializeISV,00000000-0000-0000-0000-000000000000
Integration.Deinitialize,1510,Deinitialize,00000000-0000-0000-0000-000000000000
Integration.Stop,1511,Stop,00000000-0000-0000-0000-000000000000
Integration.UserLogon,1512,UserLogon,00000000-0000-0000-0000-000000000000
Integration.UserLogoff,1513,UserLogoff,00000000-0000-0000-0000-000000000000
Integration.HandleActivity,1514,HandleActivity,00000000-0000-0000-0000-000000000000
Integration.PublishPackage,1515,PublishPackage,00000000-0000-0000-0000-000000000000
Integration.PublishPackageFinalize,1516,PublishPackageFinalize,00000000-0000-0000-0000-000000000000
Integration.PublishPackageComplete,1517,PublishPackageComplete,00000000-0000-0000-0000-000000000000
Integration.PublishPackageUndo,1518,PublishPackageUndo,00000000-0000-0000-0000-000000000000
Integration.UnpublishPackage,1519,UnpublishPackage,00000000-0000-0000-0000-000000000000
Integration.ReintegratePackage,1520,ReintegratePackage,00000000-0000-0000-0000-000000000000
Integration.ReintegrateVirtualApplications,1521,ReintegrateVirtualApplications,00000000-0000-0000-0000-000000000000
Integration.TransactionExecute,1522,TransactionExecute,00000000-0000-0000-0000-000000000000
Integration.TransactionFinalize,1523,TransactionExecute,00000000-0000-0000-0000-000000000000
Integration.TransactionComplete,1524,TransactionComplete,00000000-0000-0000-0000-000000000000
Integration.TransactionUndo,1525,TransactionUndo,00000000-0000-0000-0000-000000000000
Integration.TransactionBeginCancel,1526,TransactionBeginCancel,00000000-0000-0000-0000-000000000000
Integration.TransactionEndCancel,1527,TransactionEndCancel,00000000-0000-0000-0000-000000000000
Integration.DeserializeExtensions,1528,DeserializeExtensions,00000000-0000-0000-0000-000000000000
Integration.DeserializeExtensionsFromManifest,1529,DeserializeExtensionsFromManifest,00000000-0000-0000-0000-000000000000
Integration.DeserializeExtensionsFromDepConfig,1530,DeserializeExtensionsFromDepConfig,00000000-0000-0000-0000-000000000000
Integration.DeserializeExtensionsFromUserConfig,1531,DeserializeExtensionsFromUserConfig,00000000-0000-0000-0000-000000000000
Integration.DeserializeExtensionsApplyPolicies,1532,DeserializeExtensionsApplyPolicies,00000000-0000-0000-0000-000000000000
Policy.CreatePackageMachinePolicyDocumentFromDefault,1601,CreatePackageMachinePolicyDocumentFromDefault,00000000-0000-0000-0000-000000000000
Policy.CreatePackageMachinePolicyDocumentFromXML,1602,CreatePackageMachinePolicyDocumentFromXML,00000000-0000-0000-0000-000000000000
Policy.CreatePackageMachinePolicyDocumentFromFile,1603,CreatePackageMachinePolicyDocumentFromFile,00000000-0000-0000-0000-000000000000
Policy.CreatePackageUserPolicyDocumentFromDefault,1604,CreatePackageUserPolicyDocumentFromDefault,00000000-0000-0000-0000-000000000000
