signature_id,Status,Sub_Status,reason
4625,0xC0000072,0xC000015B,"User logon to account disabled by administrator. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xC0000072,0xC000018C,"User logon to account disabled by administrator. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xC0000072,0xC0000192,"User logon to account disabled by administrator. An attempt was made to logon, but the Netlogon service was not started."
4625,0xC0000072,0xC00002EE,"User logon to account disabled by administrator. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xC0000072,0xC0000413,"User logon to account disabled by administrator. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xc000006f,0xc0000064,"User logon outside authorized hours. The specified account does not exist."
4625,0xc000006f,0xc000006a,"User logon outside authorized hours. User logon with misspelled or bad password."
4625,0xc000006f,0xc0000234,"User logon outside authorized hours. User logon with account locked."
4625,0xc000006f,0xc0000072,"User logon outside authorized hours. User logon to account disabled by administrator."
4625,0xc000006f,0xc000006f,"User logon outside authorized hours."
4625,0xc000006f,0xc0000070,"User logon outside authorized hours. User logon from unauthorized workstation."
4625,0xc000006f,0xc0000193,"User logon outside authorized hours. User logon with expired account."
4625,0xc000006f,0xc0000071,"User logon outside authorized hours. User logon with expired password."
4625,0xc000006f,0xc0000133,"User logon outside authorized hours. Clocks between DC and other computer too far out of sync."
4625,0xc000006f,0xc0000224,"User logon outside authorized hours. The user password must be changed before logging on the first time."
4625,0xc000006f,0xc0000225,"User logon outside authorized hours. The object was not found."
4625,0xc000006f,0xc000005e,"User logon outside authorized hours. There are currently no logon servers available to service the logon request."
4625,0xc000006f,0xc000006d,"User logon outside authorized hours. The cause is either a bad username or authentication information."
4625,0xc000006f,0xc000006e,"User logon outside authorized hours. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xc000006f,0xc00000dc,"User logon outside authorized hours. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xc000006f,0xc000015b,"User logon outside authorized hours. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xc000006f,0xc000018c,"User logon outside authorized hours. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xc000006f,0xc0000192,"User logon outside authorized hours. An attempt was made to logon, but the Netlogon service was not started."
4625,0xc000006f,0xc00002ee,"User logon outside authorized hours. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xc000006f,0xc0000413,"User logon outside authorized hours. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xC000006F,0xC0000064,"User logon outside authorized hours. The specified account does not exist."
4625,0xC000006F,0xC000006A,"User logon outside authorized hours. User logon with misspelled or bad password."
4625,0xC000006F,0xC0000234,"User logon outside authorized hours. User logon with account locked."
4625,0xC000006F,0xC0000072,"User logon outside authorized hours. User logon to account disabled by administrator."
4625,0xC000006F,0xC000006F,"User logon outside authorized hours."
4625,0xC000006F,0xC0000070,"User logon outside authorized hours. User logon from unauthorized workstation."
4625,0xC000006F,0xC0000193,"User logon outside authorized hours. User logon with expired account."
4625,0xC000006F,0xC0000071,"User logon outside authorized hours. User logon with expired password."
4625,0xC000006F,0xC0000133,"User logon outside authorized hours. Clocks between DC and other computer too far out of sync."
4625,0xC000006F,0xC0000224,"User logon outside authorized hours. The user password must be changed before logging on the first time."
4625,0xC000006F,0xC0000225,"User logon outside authorized hours. The object was not found."
4625,0xC000006F,0xC000005E,"User logon outside authorized hours. There are currently no logon servers available to service the logon request."
4625,0xC000006F,0xC000006D,"User logon outside authorized hours. The cause is either a bad username or authentication information."
4625,0xC000006F,0xC000006E,"User logon outside authorized hours. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xC000006F,0xC00000DC,"User logon outside authorized hours. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xC000006F,0xC000015B,"User logon outside authorized hours. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xC000006F,0xC000018C,"User logon outside authorized hours. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xC000006F,0xC0000192,"User logon outside authorized hours. An attempt was made to logon, but the Netlogon service was not started."
4625,0xC000006F,0xC00002EE,"User logon outside authorized hours. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xC000006F,0xC0000413,"User logon outside authorized hours. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xc0000070,0xc0000064,"User logon from unauthorized workstation. The specified account does not exist."
4625,0xc0000070,0xc000006a,"User logon from unauthorized workstation. User logon with misspelled or bad password."
4625,0xc0000070,0xc0000234,"User logon from unauthorized workstation. User logon with account locked."
4625,0xc0000070,0xc0000072,"User logon from unauthorized workstation. User logon to account disabled by administrator."
4625,0xc0000070,0xc000006f,"User logon from unauthorized workstation. User logon outside authorized hours."
4625,0xc0000070,0xc0000070,"User logon from unauthorized workstation."
4625,0xc0000070,0xc0000193,"User logon from unauthorized workstation. User logon with expired account."
4625,0xc0000070,0xc0000071,"User logon from unauthorized workstation. User logon with expired password."
4625,0xc0000070,0xc0000133,"User logon from unauthorized workstation. Clocks between DC and other computer too far out of sync."
4625,0xc0000070,0xc0000224,"User logon from unauthorized workstation. The user password must be changed before logging on the first time."
4625,0xc0000070,0xc0000225,"User logon from unauthorized workstation. The object was not found."
4625,0xc0000070,0xc000005e,"User logon from unauthorized workstation. There are currently no logon servers available to service the logon request."
4625,0xc0000070,0xc000006d,"User logon from unauthorized workstation. The cause is either a bad username or authentication information."
4625,0xc0000070,0xc000006e,"User logon from unauthorized workstation. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xc0000070,0xc00000dc,"User logon from unauthorized workstation. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xc0000070,0xc000015b,"User logon from unauthorized workstation. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xc0000070,0xc000018c,"User logon from unauthorized workstation. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xc0000070,0xc0000192,"User logon from unauthorized workstation. An attempt was made to logon, but the Netlogon service was not started."
4625,0xc0000070,0xc00002ee,"User logon from unauthorized workstation. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xc0000070,0xc0000413,"User logon from unauthorized workstation. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xC0000070,0xC0000064,"User logon from unauthorized workstation. The specified account does not exist."
4625,0xC0000070,0xC000006A,"User logon from unauthorized workstation. User logon with misspelled or bad password."
4625,0xC0000070,0xC0000234,"User logon from unauthorized workstation. User logon with account locked."
4625,0xC0000070,0xC0000072,"User logon from unauthorized workstation. User logon to account disabled by administrator."
4625,0xC0000070,0xC000006F,"User logon from unauthorized workstation. User logon outside authorized hours."
4625,0xC0000070,0xC0000070,"User logon from unauthorized workstation."
4625,0xC0000070,0xC0000193,"User logon from unauthorized workstation. User logon with expired account."
4625,0xC0000070,0xC0000071,"User logon from unauthorized workstation. User logon with expired password."
4625,0xC0000070,0xC0000133,"User logon from unauthorized workstation. Clocks between DC and other computer too far out of sync."
4625,0xC0000070,0xC0000224,"User logon from unauthorized workstation. The user password must be changed before logging on the first time."
4625,0xC0000070,0xC0000225,"User logon from unauthorized workstation. The object was not found."
4625,0xC0000070,0xC000005E,"User logon from unauthorized workstation. There are currently no logon servers available to service the logon request."
4625,0xC0000070,0xC000006D,"User logon from unauthorized workstation. The cause is either a bad username or authentication information."
4625,0xC0000070,0xC000006E,"User logon from unauthorized workstation. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xC0000070,0xC00000DC,"User logon from unauthorized workstation. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xC0000070,0xC000015B,"User logon from unauthorized workstation. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xC0000070,0xC000018C,"User logon from unauthorized workstation. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xC0000070,0xC0000192,"User logon from unauthorized workstation. An attempt was made to logon, but the Netlogon service was not started."
4625,0xC0000070,0xC00002EE,"User logon from unauthorized workstation. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xC0000070,0xC0000413,"User logon from unauthorized workstation. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xc0000193,0xc0000064,"User logon with expired account. The specified account does not exist."
4625,0xc0000193,0xc000006a,"User logon with expired account. User logon with misspelled or bad password."
4625,0xc0000193,0xc0000234,"User logon with expired account. User logon with account locked."
4625,0xc0000193,0xc0000072,"User logon with expired account. User logon to account disabled by administrator."
4625,0xc0000193,0xc000006f,"User logon with expired account. User logon outside authorized hours."
4625,0xc0000193,0xc0000070,"User logon with expired account. User logon from unauthorized workstation."
4625,0xc0000193,0xc0000193,"User logon with expired account."
4625,0xc0000193,0xc0000071,"User logon with expired account. User logon with expired password."
4625,0xc0000193,0xc0000133,"User logon with expired account. Clocks between DC and other computer too far out of sync."
4625,0xc0000193,0xc0000224,"User logon with expired account. The user password must be changed before logging on the first time."
4625,0xc0000193,0xc0000225,"User logon with expired account. The object was not found."
4625,0xc0000193,0xc000005e,"User logon with expired account. There are currently no logon servers available to service the logon request."
4625,0xc0000193,0xc000006d,"User logon with expired account. The cause is either a bad username or authentication information."
4625,0xc0000193,0xc000006e,"User logon with expired account. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xc0000193,0xc00000dc,"User logon with expired account. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xc0000193,0xc000015b,"User logon with expired account. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xc0000193,0xc000018c,"User logon with expired account. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xc0000193,0xc0000192,"User logon with expired account. An attempt was made to logon, but the Netlogon service was not started."
4625,0xc0000193,0xc00002ee,"User logon with expired account. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xc0000193,0xc0000413,"User logon with expired account. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xC0000193,0xC0000064,"User logon with expired account. The specified account does not exist."
4625,0xC0000193,0xC000006A,"User logon with expired account. User logon with misspelled or bad password."
4625,0xC0000193,0xC0000234,"User logon with expired account. User logon with account locked."
4625,0xC0000193,0xC0000072,"User logon with expired account. User logon to account disabled by administrator."
4625,0xC0000193,0xC000006F,"User logon with expired account. User logon outside authorized hours."
4625,0xC0000193,0xC0000070,"User logon with expired account. User logon from unauthorized workstation."
4625,0xC0000193,0xC0000193,"User logon with expired account."
4625,0xC0000193,0xC0000071,"User logon with expired account. User logon with expired password."
4625,0xC0000193,0xC0000133,"User logon with expired account. Clocks between DC and other computer too far out of sync."
4625,0xC0000193,0xC0000224,"User logon with expired account. The user password must be changed before logging on the first time."
4625,0xC0000193,0xC0000225,"User logon with expired account. The object was not found."
4625,0xC0000193,0xC000005E,"User logon with expired account. There are currently no logon servers available to service the logon request."
4625,0xC0000193,0xC000006D,"User logon with expired account. The cause is either a bad username or authentication information."
4625,0xC0000193,0xC000006E,"User logon with expired account. Indicates a referenced user name and authentication information are valid, but some user account restriction has prevented successful authentication (such as time-of-day restrictions)."
4625,0xC0000193,0xC00000DC,"User logon with expired account. Indicates the Sam Server was in the wrong state to perform the desired operation."
4625,0xC0000193,0xC000015B,"User logon with expired account. The user has not been granted the requested logon type (also called the logon right) at this machine."
4625,0xC0000193,0xC000018C,"User logon with expired account. The logon request failed because the trust relationship between the primary domain and the trusted domain failed."
4625,0xC0000193,0xC0000192,"User logon with expired account. An attempt was made to logon, but the Netlogon service was not started."
4625,0xC0000193,0xC00002EE,"User logon with expired account. A security context was deleted before the context was completed. This is considered a logon failure."
4625,0xC0000193,0xC0000413,"User logon with expired account. Logon Failure: The machine you are logging on to is protected by an authentication firewall. The specified account is not allowed to authenticate to the machine."
4625,0xc0000071,0xc0000064,"User logon with expired password. The specified account does not exist."
4625,0xc0000071,0xc000006a,"User logon with expired password. User logon with misspelled or bad password."
4625,0xc0000071,0xc0000234,"User logon with expired password. User logon with account locked."
4625,0xc0000071,0xc0000072,"User logon with expired password. User logon to account disabled by administrator."
4625,0xc0000071,0xc000006f,"User logon with expired password. User logon outside authorized hours."
4625,0xc0000071,0xc0000070,"User logon with expired password. User logon from unauthorized workstation."
4625,0xc0000071,0xc0000193,"User logon with expired password. User logon with expired account."
4625,0xc0000071,0xc0000071,"User logon with expired password."
4625,0xc0000071,0xc0000133,"User logon with expired password. Clocks between DC and other computer too far out of sync."
4625,0xc0000071,0xc0000224,"User logon with expired password. The user password must be changed before logging on the first time."
4625,0xc0000071,0xc0000225,"User logon with expired password. The object was not found."
